"","Pop","Latitude","Longitude","Distance","MAT","MSP","CMD","RH","MAT_Distance","MSP_Distance","CMD_Distance","RH_Distance","Fruit_no_damage","Seeds","Flowering_Date","Leaf_Toughness","Water_Content","Growth_Rate","Bolt_Date","SLA","Num_Trichomes","Leaf_Herb_Sept","bug","Hight","S.florida","M.brevivatella","Tissue","Leaf_Totphe","Leaf_pH_10","Flower_Totphe","Flower_pH_10","Fruit_Totphe","Fruit_pH_10","Leaf_Oenothein_B","Leaf_Oenothein_A","Flower_Oenothein_B","Flower_Oenothein_A","Fruit_Oenothein_B","Fruit_Oenothein_A"
"32",692,49.610409,-117.563469,2934,7.8,239,361,66,-0.100000000000001,-217,240,-3,84.185,19116.75,205.5,141.25,75.942129195,0.0961128135,134,53.369520235,70.75,1.43333333333333,19.625,103.666666666667,26.25,1.75,"Leaf",72.59190722,19.6900155,69.21420551,17.61925936,108.7300291,31.24885504,48.38663753,3.655378521,48.13812972,6.088138244,65.06108169,9.32896117
"33",693,49.561061,-121.429169,3213,8.4,263,246,71,0.5,-193,125,2,162.613333333333,42913.3333333333,198,123.333333333333,73.06572577,0.0920890923333333,132.333333333333,52.4842595433333,121.333333333333,1.23333333333333,13,116,5.33333333333333,4,"Leaf",77.56339465,23.06565437,36.21684661,7.113818402,109.3842301,33.08951394,62.47369215,4.04148125,21.82673032,2.428605459,87.38782268,6.767312658
"34",694,50.018423,-96.774117,1464,2,341,208,59,-5.9,-115,87,-10,13.584,1552.2,187.5,121,71.858216088,0.11799235925,133,54.890698278,127.4,1.26,6,65.6,0.5,14,"Leaf",97.06808146,27.83213873,72.09962285,16.1584266,65.26439782,11.99209838,63.82814523,4.652226161,43.178087,7.007787298,21.5263784,1.098742604
"35",695,46.087816,-64.778229,1184,5.6,429,123,62,-2.3,-27,2,-7,46.716,7131.4,198.4,104,72.47484881,0.11724845775,132.75,51.395977158,97.2,3.22,5,95.25,16.8,3.8,"",NA,NA,47.50163211,14.5334071,96.77928809,25.03948404,NA,NA,NA,NA,NA,NA
"36",696,47.001544,-65.566162,1139,4.8,436,119,61,-3.1,-20,-2,-8,74.555,15881,198.75,161.25,72.12665674,0.0883203235,133.75,46.54215852,141.75,2.35,18,80.25,6.75,5.25,"Leaf",78.75020101,21.75979842,54.76486478,13.76762539,85.0339524,29.35304788,59.12175673,3.484845663,36.60860964,4.106439169,41.74856978,4.528221271
"37",697,45.485094,-75.474731,361,5.5,409,160,63,-2.4,-47,39,-6,94.064,24797.4,200,102.5,75.608743645,0.0940702946,133.2,54.37996515,74.5,1.05,17.4,105.333333333333,6.75,6.5,"Leaf",101.2165551,27.21092595,47.56268763,12.75767177,95.28324062,28.05036805,89.54070383,6.077943845,28.45272831,4.470927964,38.80693727,13.49704169
"38",698,43.544805,-80.248169,78,6.6,413,169,66,-1.3,-43,48,-3,62.8833333333333,15579,198.2,119.166666666667,73.3495887216667,0.0937696711666667,136.833333333333,48.87249477,129.333333333333,4.15,6.5,106,34.4,3,"Leaf",79.44293252,20.43594638,69.41319423,24.81794968,88.96798255,15.61993458,58.23658246,5.895412821,50.80119814,6.739008325,37.71051152,4.495261137
"39",699,44.927178,-78.725372,119,5.1,410,159,62,-2.8,-46,38,-7,40.6666666666667,8651.66666666667,197,128.333333333333,76.00010108,0.0974759763333333,136.333333333333,63.1850604733333,176,4,13.3333333333333,92.3333333333333,8,16.6666666666667,"Leaf",85.68223866,22.90451145,71.29077214,18.53619149,94.98431155,17.94080387,67.39598955,7.442568408,27.30663387,4.857655696,43.55714658,4.765472002
"40",700,46.137636,-62.551315,1356,5.9,422,87,70,-2,-34,-34,1,13.675,3278.25,192,142.5,71.319034595,0.0809835765,133.333333333333,54.4773964825,135.5,1.35,6.25,67,1.75,8.75,"Leaf",81.03982262,21.07399081,42.93995862,9.546902883,92.95375089,20.8224122,57.30799176,4.234669299,NA,NA,24.9069622,2.3630094
"41",701,46.315411,-63.241093,1304,5.6,425,67,70,-2.3,-31,-54,1,127.696,27488.2,197.75,96,74.488305418,0.112962698333333,130,56.024716672,101.4,4.1041269842,15.75,102.25,0.5,3.5,"Leaf",77.41304438,18.24748515,39.40033772,9.417670697,101.258871,27.63198261,63.7259196,4.707290932,16.42417602,2.437145551,51.78025075,10.66615547
"42",702,46.461958,-63.453724,1290,5.5,419,68,70,-2.4,-37,-53,1,54.83,12360.5,195,117.5,76.7968792,0.09044281425,133.75,58.0655983775,85.5,0.9,10.75,68.3333333333333,10.5,6.5,"Leaf",63.53550188,18.16913751,49.81423261,11.94499796,89.95957976,24.26810596,49.35498387,3.20077445,26.734976,3.020603704,37.34627637,3.494124815
"43",703,45.50527,-73.600243,498,6,437,147,61,-1.9,-19,26,-8,63.5,13301,218,115,64.0326849675,0.07910400075,131.75,53.1034895475,123.5,5.05,12,98.6666666666667,0,0,"Leaf",99.75868332,26.25997141,83.48271104,23.77240517,127.6186304,38.85060867,81.20093789,9.120605727,62.47000461,13.46572462,81.84635877,16.68665157
"44",704,45.958702,-73.219673,543,5.5,438,144,62,-2.4,-18,23,-7,64.775,10124,192.5,113.75,76.136754755,0.10030009075,134.75,68.6406939775,153.5,1.3,7.25,114.75,13.5,1.25,"Leaf",92.96381946,22.90016776,56.48778556,14.11241956,132.3771798,39.75791209,64.85064076,5.338203046,32.37515237,5.632357467,83.76369715,20.87007013
"45",705,45.501857,-73.600479,498,6,437,147,61,-1.9,-19,26,-8,270.85,80042.75,204.75,106.25,74.34896943,0.09885028575,132.333333333333,51.46518631,92.25,1.525,15.25,117.25,52.5,5,"Leaf",90.15844222,23.70440187,43.10631422,12.1537423,117.1006389,35.44420676,65.73966602,7.131744778,23.06814855,1.423711302,67.2643983,18.70780546
"46",706,47.592963,-79.487495,396,2.9,429,126,60,-5,-27,5,-9,67.776,17522.8,224,121.25,74.9359524525,0.1018628985,132,47.34127953,42.75,5.6,9.5,66.6666666666667,13,8.5,"Leaf",72.23042667,22.18752925,46.43832425,11.75844411,104.1152037,27.78157072,54.80635907,6.057778052,32.89195286,2.467987836,56.38421007,7.391533719
"47",707,48.182726,-67.147804,1062,2.5,465,70,60,-5.4,9,-51,-9,1.91,251.5,189,100,78.25962847,0.0918451395,133,63.718948355,107,1.45,7,53,0,1,"Leaf",78.26591008,20.87092893,56.63748733,14.67151537,NA,NA,55.00350221,3.708855599,38.51374829,3.110062096,NA,NA
"48",708,46.810776,-71.290688,716,4.8,527,43,65,-3.1,71,-78,-4,88.284,21355.8,202,106,74.139621618,0.1011315518,133.6,46.86888176,51,2.36,13.2,93.8,7.4,6.2,"Leaf",89.27717158,26.92524125,38.68998326,9.211269362,101.5467283,31.25793017,79.90743948,6.038819616,20.51673186,2.604284119,63.63315994,7.250095729
"49",709,31.103711,-87.071533,1579,18.3,753,182,57,10.4,297,61,-12,0,0,NA,97.5,76.9000929,NA,163,72.880984325,228,0.1,0,0,NA,NA,"Leaf",95.31990308,19.05068901,NA,NA,119.2924522,31.75170162,1.245034689,56.47047526,NA,NA,NA,NA
"50",710,31.105178,-87.072189,1579,18.3,753,182,57,10.4,297,61,-12,0,0,289,82.5,77.54476219,0.109811823,164.333333333333,71.2703556666667,111.333333333333,0.866666666666667,0,83,NA,NA,"Leaf",64.24269087,12.56100442,60.27143163,17.1372534,NA,NA,0.56166072,17.28324338,43.64214067,5.85721998,NA,NA
"51",712,31.090742,-88.228012,1626,18.5,691,215,60,10.6,235,94,-9,11.66,2042,225.5,143.333333333333,76.00199406,0.0795942795,167,56.6010060166667,138.666666666667,0.177777777666667,10,56,10,2,"Leaf",72.93336209,19.84291888,42.00010402,9.5883756,109.7777769,31.04288028,23.34190434,24.28191463,17.46199353,2.78564787,87.44429114,11.51540374
"52",713,36.002981,-94.288231,1538,14.5,531,252,59,6.6,75,131,-10,17.32,1965,234.5,126.25,70.0716785625,0.0627968473333333,194,57.5409798975,105.75,1.2625,0,311.333333333333,0,1.33333333333333,"Leaf",66.30877295,15.6335714,94.82826575,22.61897161,151.3957482,39.44647728,0.502466411,17.18767255,11.0195331,44.53903641,8.422436341,111.9931918
