Pop,Distance,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
718,2892,47.677676,-116.780602,670,8.4,20,-2.6,22.6,645,191,28.6,104.4,323,2045,3661,194,222,129,278,149,113,-27.7,39.1,823,475,12.9,61
719,2710,45.173222,-113.901314,1205,7,20.5,-6.5,27,248,135,68.8,152.1,608,1946,4176,200,171,145,256,112,47,-37.1,40.2,928,726,14,49
720,1066,38.52005,-89.983994,159,12.9,25.6,-1.4,27,994,462,23,55.4,210,3478,2626,788,223,110,293,184,23,-27,41.1,1054,270,14.7,63
723,983,39.725328,-89.91066,199,11.7,24.8,-3.3,28,956,479,22.7,51.8,316,3221,2959,680,217,113,291,178,43,-29,40.8,963,230,14.3,62
724,793,39.165325,-86.526382,239,11.9,24.4,-1.9,26.3,1116,523,19.7,46.6,254,3213,2842,647,218,115,290,175,42,-28,40.2,1006,196,14.3,61
725,711,41.4942,-87.521706,191,9.9,23.3,-5.3,28.6,955,492,20.9,47.4,462,2815,3417,496,208,119,288,168,77,-30.6,39.5,866,162,13.2,65
726,635,41.466711,-86.48307,217,9.7,22.8,-5,27.8,985,490,20,46.5,465,2733,3456,452,198,124,283,159,91,-31.1,39.5,913,197,13.1,61
727,603,41.234169,-85.852814,251,9.5,22.5,-4.9,27.4,913,465,21.4,48.4,462,2678,3480,423,200,124,283,160,78,-30.5,38.8,886,202,13.1,62
728,1168,42.02335,-93.625626,277,9.2,23.7,-7.5,31.2,845,532,22.7,44.6,637,2763,3694,497,198,120,282,162,61,-33.9,40.5,887,145,13.7,60
729,1260,43.401875,-95.184128,437,7.4,22.9,-10.2,33.1,713,461,24.3,49.7,912,2474,4245,404,176,128,276,148,75,-36.9,40.5,806,206,13.6,59
730,1041,36.865601,-87.488617,170,14.2,25.6,1.4,24.2,1291,499,18.7,51.2,116,3743,2238,864,232,108,294,186,15,-24.9,41.3,1200,289,14.8,60
731,899,37.443889,-85.743614,260,13.4,24.4,.6,23.8,1290,561,18.2,43.5,133,3516,2360,716,230,112,293,182,18,-25.2,39.8,1138,180,14.4,61
732,1086,37.083401,-88.599953,99,14.1,26.1,.6,25.5,1219,491,19.8,53.2,133,3774,2279,902,240,105,297,192,17,-24.8,41.5,1148,262,14.9,63
733,780,39.290385,-76.61219,68,12.9,25,.3,24.6,1082,494,21.2,50.6,161,3403,2551,725,236,109,298,190,21,-24.8,39.5,1008,190,14.1,66
734,430,45.412512,-84.612534,195,6.2,19.8,-7.7,27.5,775,390,20.9,50.8,815,1972,4444,179,162,144,272,128,159,-33.7,37,758,264,12.4,58
735,859,46.475225,-89.939888,480,4.3,19.4,-12.1,31.5,877,480,16.4,40.3,1232,1793,5084,141,157,143,269,125,218,-38.6,36.6,664,115,12.4,60
736,1722,30.396033,-88.885307,7,19.8,27.6,10.3,17.2,1548,718,19.2,38.4,11,5414,872,1534,358,42,340,297,0,-11.8,39.2,1279,106,16.3,71
737,1277,36.991148,-91.49263,312,13.2,25.1,0,25.2,1128,517,20.5,48.6,161,3486,2483,743,220,114,290,176,17,-27.5,41.2,1157,271,14.8,57
738,1277,36.991165,-91.492638,312,13.2,25.1,0,25.2,1128,517,20.5,48.6,161,3486,2483,743,220,114,290,176,17,-27.5,41.2,1157,271,14.8,57
739,1081,38.642541,-90.32373,165,12.7,25.7,-1.6,27.3,985,459,23.1,55.9,222,3441,2680,780,221,110,292,182,26,-27.4,41.2,1046,267,14.7,63
740,1222,36.757039,-90.392883,100,14.3,26.3,1,25.3,1187,480,20.5,54.8,124,3824,2240,932,228,108,293,185,14,-25.3,42.1,1221,330,14.7,59
741,660,42.742517,-71.589531,113,8,21,-5.5,26.5,1131,467,15.9,44.9,550,2267,3877,266,170,135,274,139,186,-33.1,37.3,844,170,13.4,58
742,550,40.796795,-74.481506,123,10,22.3,-2.9,25.2,1264,572,15.8,39,343,2668,3303,400,192,127,281,154,91,-29.6,38.3,914,113,13.6,60
743,567,40.672486,-74.357536,46,11.1,23.4,-1.8,25.2,1218,555,17.3,42.2,261,2950,3001,518,211,120,289,169,54,-27.4,38.9,929,122,13.6,63
744,291,42.142852,-77.054688,401,8.1,20.5,-5.1,25.6,866,429,20.9,47.8,524,2254,3837,247,172,136,274,139,102,-31.7,37.1,859,231,12.3,59
