Control sample ID#,Pop,Tissue,totphe,pH_10
374,742,Flower,33.53472392,6.352339065
375,743,Flower,24.50074589,4.60054893
376,744,Flower,42.40839234,10.66757875
377,745,Flower,42.97162522,10.78272675
378,746,Flower,71.02108067,18.87877683
379,747,Flower,58.09773007,13.99487329
380,748,Flower,55.93207301,12.97170135
381,749,Flower,44.19687248,11.07133994
382,750,Flower,46.15485466,11.94874091
383,751,Flower,36.59665453,8.95359874
384,752,Flower,33.29905114,8.026439836
385,753,Flower,54.41907141,12.10284613
386,754,Flower,54.3560586,12.34889389
387,755,Flower,52.11539853,11.59921092
388,756,Flower,49.21362117,10.92509736
389,757,Flower,57.86683631,15.14667919
390,758,Flower,52.46342073,11.03030319
391,759,Flower,36.38238999,8.502032081
392,760,Flower,36.53451262,8.477102713
393,761,Flower,64.93016638,16.91879097
394,763,Flower,63.10538515,16.73698012
395,765,Flower,51.74031636,11.6683841
395,765,Flower,62.13470006,16.1666707
396,766,Flower,59.21724859,11.06475847
397,767,Flower,48.38465132,10.03968761
398,768,Flower,67.70985144,17.07433326
399,769,Flower,72.97241931,17.08024762
400,770,Flower,50.84862548,11.64470173
401,771,Flower,64.39432549,13.16184552
402,772,Flower,53.33868299,13.36310599
403,773,Flower,59.05049511,14.77879375
404,774,Flower,44.08248802,10.47175804
405,775,Flower,71.95982715,18.45526766
406,776,Flower,61.74893266,13.04702276
407,777,Flower,35.25593822,7.769229626
408,779,Flower,59.23073245,13.72151247
409,780,Flower,64.26347637,11.75362087
410,781,Flower,67.68850018,15.31014982
411,782,Flower,57.54163438,13.91229676
412,784,Flower,45.04010126,7.888558289
413,785,Flower,78.90749579,25.4617149
414,786,Flower,45.59153741,10.2343982
415,787,Flower,53.08930564,14.1406873
416,788,Flower,88.4056341,23.65418807
417,789,Flower,90.84390759,24.92511773
418,790,Flower,37.39441626,9.648685349
419,791,Flower,40.07337811,12.34881346
420,792,Flower,47.67653767,10.9570881
421,806,Flower,57.83542125,13.69192037
422,824,Flower,103.8342086,20.83019674
423,825,Flower,88.61029687,19.8370568
424,831,Flower,88.75900117,22.19810242
425,837,Flower,67.82745547,15.22822578
426,851,Flower,67.49228952,19.23317592
427,877,Flower,48.51224051,13.36722702
428,880,Flower,68.48736079,16.10541511
429,888,Flower,52.43164753,14.21225091
430,890,Flower,37.66392476,8.240926713
431,891,Flower,98.08368493,23.28797013
432,892,Flower,91.96467551,26.02987351
433,893,Flower,89.83347911,29.51379379
434,908,Flower,56.10545744,14.26298397
435,914,Flower,39.86352017,11.72212825
436,915,Flower,69.59937614,18.69927318
574,8,Fruit,88.11688486,19.14854843
575,9,Fruit,106.5181394,31.69925598
576,22,Fruit,138.0367347,37.81244587
577,182,Fruit,170.9560443,31.65886989
578,183,Fruit,111.7682366,33.79756065
579,411,Fruit,115.6448967,28.59581617
580,442,Fruit,139.4109454,39.98833298
581,465,Fruit,136.8183863,39.32415327
582,501,Fruit,166.8401926,43.5471638
583,514,Fruit,114.6918975,27.17389081
584,515,Fruit,160.0728339,42.28108397
585,516,Fruit,134.8320587,35.59892659
586,518,Fruit,110.2517776,32.11535323
587,570,Fruit,80.15838594,16.64813911
588,571,Fruit,72.28291305,11.17382923
589,572,Fruit,85.19302632,19.6382374
590,573,Fruit,96.15974313,29.12380227
591,574,Fruit,119.3483964,31.13919548
592,658,Fruit,107.5938247,24.94268226
593,659,Fruit,107.0015587,27.21686396
594,676,Fruit,165.9659315,43.64584233
595,688,Fruit,135.9451656,40.97465854
596,689,Fruit,100.6795856,20.52496672
597,690,Fruit,143.3894331,38.42421619
598,691,Fruit,102.8109689,19.83879081
599,692,Fruit,108.7300291,31.24885504
600,693,Fruit,109.3842301,33.08951394
601,694,Fruit,65.26439782,11.99209838
602,695,Fruit,96.77928809,25.03948404
603,696,Fruit,85.0339524,29.35304788
604,697,Fruit,95.28324062,28.05036805
605,698,Fruit,88.96798255,15.61993458
606,699,Fruit,94.98431155,17.94080387
607,700,Fruit,92.95375089,20.8224122
608,701,Fruit,101.258871,27.63198261
609,702,Fruit,89.95957976,24.26810596
610,703,Fruit,127.6186304,38.85060867
611,704,Fruit,132.3771798,39.75791209
612,706,Fruit,104.1152037,27.78157072
613,708,Fruit,101.5467283,31.25793017
614,709,Fruit,119.2924522,31.75170162
615,714,Fruit,158.6936264,45.48058572
616,715,Fruit,161.3402563,40.09006531
617,716,Fruit,139.5595151,36.58491041
618,717,Fruit,125.5881585,36.31393388
619,718,Fruit,72.50754346,10.06192788
620,719,Fruit,69.84041232,15.60988249
621,720,Fruit,110.4943766,26.66765787
622,723,Fruit,154.414756,42.0964832
623,725,Fruit,142.3953875,42.10961254
624,726,Fruit,129.0721456,35.94995693
625,727,Fruit,131.1498974,38.24809259
626,728,Fruit,96.37849597,27.82173113
627,729,Fruit,100.1278134,26.55192202
628,731,Fruit,113.0325484,26.72104725
629,732,Fruit,151.0914317,39.29870644
630,734,Fruit,66.58601791,16.19497628
631,735,Fruit,120.9414677,34.20229372
632,738,Fruit,129.2934943,33.30084341
633,739,Fruit,138.7087429,37.0459084
634,740,Fruit,112.402588,28.39586399
635,741,Fruit,105.2319448,22.63544336
636,742,Fruit,145.4823339,46.20227778
637,743,Fruit,134.4003279,29.48816247
638,744,Fruit,99.52533941,26.1547856
639,745,Fruit,78.92044461,21.17042756
640,746,Fruit,161.800302,39.78581713
641,747,Fruit,99.19738651,21.90020385
642,748,Fruit,97.56142318,22.79833827
643,749,Fruit,112.2808164,33.57305334
644,750,Fruit,97.54638112,25.85402296
645,751,Fruit,92.45160903,26.00096335
646,752,Fruit,127.9265721,38.58015953
647,753,Fruit,142.9570045,41.6328866
648,754,Fruit,112.8551021,30.35787356
649,755,Fruit,120.320225,31.1469303
650,756,Fruit,127.0268552,30.13119618
651,757,Fruit,154.3153245,36.8955785
652,758,Fruit,146.441846,34.72031703
653,759,Fruit,54.18405722,6.692667286
654,761,Fruit,91.25471555,26.92457497
655,763,Fruit,113.5336629,33.7473459
656,765,Fruit,176.0094616,59.30076562
657,766,Fruit,161.7033722,49.00669184
658,767,Fruit,123.6640749,34.02431241
659,768,Fruit,195.6484097,60.7536413
660,769,Fruit,139.0315442,41.85208617
661,770,Fruit,108.2127338,28.26309881
662,771,Fruit,143.1908834,31.79387737
663,772,Fruit,134.5277304,37.30679313
664,773,Fruit,106.735997,30.19436583
665,775,Fruit,87.97569875,22.79699906
666,776,Fruit,145.8115521,35.48525655
667,777,Fruit,98.9051743,23.27746656
668,779,Fruit,132.4173638,34.01169478
669,780,Fruit,142.7458392,33.20629315
670,781,Fruit,181.4111349,47.76927033
671,782,Fruit,95.36142113,24.11795836
672,784,Fruit,130.0608907,37.73672451
673,785,Fruit,104.2901164,32.49767746
674,786,Fruit,131.1090698,33.0485093
675,787,Fruit,143.0268383,36.8962908
676,788,Fruit,157.7216877,43.9755061
677,789,Fruit,127.4612263,40.5186153
678,790,Fruit,95.52444105,30.8140916
679,791,Fruit,97.12351326,26.31070447
680,792,Fruit,104.1549432,22.88803762
681,798,Fruit,62.34586557,18.47202565
682,806,Fruit,164.0350645,59.13641802
684,824,Fruit,162.6523669,37.51415533
685,825,Fruit,160.8204035,44.3211504
686,831,Fruit,140.9369205,40.30409138
687,851,Fruit,69.35651147,11.90317823
688,864,Fruit,101.7418019,36.38783236
689,877,Fruit,103.7576927,29.74107908
690,880,Fruit,83.94195289,20.79712522
691,888,Fruit,84.9581633,23.16975314
692,890,Fruit,84.83888457,22.44208183
693,891,Fruit,122.3502426,34.39890262
694,892,Fruit,131.2852802,39.53210986
695,893,Fruit,119.2702031,34.26419129
696,908,Fruit,112.2629292,34.23031938
697,914,Fruit,109.7164215,29.56559093
698,915,Fruit,89.46943476,22.93049002
