Pop,Turku_ID,Tissue,Oenothein_B ,Oenothein_A
888,141205 Daniel Ob Leaf 139,Leaf,71.88318896,5.25833252
890,141205 Daniel Ob Leaf 140,Leaf,56.22292753,6.184302969
891,141205 Daniel Ob Leaf 141,Leaf,16.77134585,10.9117152
892,141205 Daniel Ob Leaf 142,Leaf,94.77730572,10.38988354
893,141205 Daniel Ob Leaf 143,Leaf,80.17871664,8.631891074
908,141205 Daniel Ob Leaf 144,Leaf,69.92874623,4.114903363
914,141205 Daniel Ob Leaf 145,Leaf,87.26780752,8.893059129
915,141205 Daniel Ob Leaf 146,Leaf,66.20261651,4.837386076
705,141205 Daniel Ob Flower 181,Flower,23.06814855,1.423711302
23,141205 Daniel Ob Flower 183,Flower,12.88133936,11.6873631
778,141205 Daniel Ob Flower 185,Flower,30.064138,2.961370968
762,141205 Daniel Ob Flower 187,Flower,9.898992018,12.91143366
712,141205 Daniel Ob Flower 189,Flower,17.46199353,2.78564787
737,141205 Daniel Ob Flower 191,Flower,2.328564519,3.057882486
730,141205 Daniel Ob Flower 193,Flower,1.27297719,22.04216848
713,141205 Daniel Ob Flower 195,Flower,11.0195331,44.53903641
8,141205 Daniel Ob Flower 308,Flower,31.70271904,4.492868008
182,141205 Daniel Ob Flower 311,Flower,25.72183302,39.50486097
183,141205 Daniel Ob Flower 312,Flower,27.21929341,6.882211538
378,141205 Daniel Ob Flower 313,Flower,27.87264967,5.571797954
379,141205 Daniel Ob Flower 314,Flower,18.92731097,49.9731216
411,141205 Daniel Ob Flower 315,Flower,37.74356652,10.43067584
442,141205 Daniel Ob Flower 316,Flower,10.23207175,22.92702532
9,141206 Daniel Ob Flower 309,Flower,20.27139564,2.803412281
22,141206 Daniel Ob Flower 310,Flower,5.606325552,12.73064492
447,141206 Daniel Ob Flower 317,Flower,3.192221914,23.34007189
465,141206 Daniel Ob Flower 318,Flower,9.657824448,26.83637089
501,141206 Daniel Ob Flower 319,Flower,1.971981444,20.5872547
514,141206 Daniel Ob Flower 320,Flower,18.19921162,20.62818538
515,141206 Daniel Ob Flower 321,Flower,0.588612341,13.20754698
516,141206 Daniel Ob Flower 322,Flower,4.100387266,24.56564932
518,141206 Daniel Ob Flower 323,Flower,31.34207145,4.643564977
570,141206 Daniel Ob Flower 324,Flower,24.88124352,3.531713568
571,141206 Daniel Ob Flower 325,Flower,26.39944494,3.640329077
572,141206 Daniel Ob Flower 326,Flower,23.91639857,0.116372283
573,141206 Daniel Ob Flower 327,Flower,24.87454821,3.018262649
574,141206 Daniel Ob Flower 328,Flower,26.27032433,17.29320614
658,141206 Daniel Ob Flower 329,Flower,38.2372673,7.904331745
659,141206 Daniel Ob Flower 330,Flower,9.562039401,12.20135059
676,141206 Daniel Ob Flower 331,Flower,1.937069561,24.18938659
688,141206 Daniel Ob Flower 332,Flower,40.90908558,6.646498011
689,141206 Daniel Ob Flower 333,Flower,50.94980644,6.362380429
690,141206 Daniel Ob Flower 334,Flower,36.04176841,2.81000879
691,141206 Daniel Ob Flower 335,Flower,19.27410271,3.958363499
692,141206 Daniel Ob Flower 336,Flower,48.13812972,6.088138244
693,141206 Daniel Ob Flower 337,Flower,21.82673032,2.428605459
694,141206 Daniel Ob Flower 338,Flower,43.178087,7.007787298
695,141206 Daniel Ob Flower 339,Flower,27.87722973,3.559489594
696,141206 Daniel Ob Flower 340,Flower,36.60860964,4.106439169
697,141206 Daniel Ob Flower 341,Flower,28.45272831,4.470927964
698,141206 Daniel Ob Flower 342,Flower,50.80119814,6.739008325
699,141206 Daniel Ob Flower 343,Flower,27.30663387,4.857655696
700,141206 Daniel Ob Flower 344,Flower,55.54050255,9.9524375
701,141207 Daniel Ob Flower 345,Flower,16.42417602,2.437145551
702,141207 Daniel Ob Flower 346,Flower,26.734976,3.020603704
703,141207 Daniel Ob Flower 347,Flower,62.47000461,13.46572462
704,141207 Daniel Ob Flower 348,Flower,32.37515237,5.632357467
706,141207 Daniel Ob Flower 349,Flower,32.89195286,2.467987836
707,141207 Daniel Ob Flower 350,Flower,38.51374829,3.110062096
708,141207 Daniel Ob Flower 351,Flower,20.51673186,2.604284119
710,141207 Daniel Ob Flower 352,Flower,43.64214067,5.85721998
714,141207 Daniel Ob Flower 353,Flower,2.092908358,12.97820771
715,141207 Daniel Ob Flower 354,Flower,5.190335644,11.22195421
718,141207 Daniel Ob Flower 355,Flower,18.8296472,2.820157908
719,141207 Daniel Ob Flower 356,Flower,36.4798793,4.255130615
720,141207 Daniel Ob Flower 357,Flower,22.66923508,4.702994753
723,141207 Daniel Ob Flower 358,Flower,1.57894862,11.7664137
724,141207 Daniel Ob Flower 359,Flower,4.809703012,50.97139056
725,141207 Daniel Ob Flower 360,Flower,5.285606834,22.57552889
726,141207 Daniel Ob Flower 361,Flower,7.503328976,14.9713439
727,141207 Daniel Ob Flower 362,Flower,6.059124268,17.71856203
728,141207 Daniel Ob Flower 363,Flower,36.80138323,5.626816377
729,141207 Daniel Ob Flower 364,Flower,31.23678123,4.722356465
731,141207 Daniel Ob Flower 365,Flower,3.325525651,11.995914
732,141207 Daniel Ob Flower 366,Flower,1.667349457,6.655766705
733,141207 Daniel Ob Flower 367,Flower,1.106780248,9.549765509
734,141207 Daniel Ob Flower 368,Flower,34.54222545,6.008453881
735,141207 Daniel Ob Flower 369,Flower,35.02604831,13.10962886
738,141207 Daniel Ob Flower 370,Flower,6.585711978,12.38760065
739,141207 Daniel Ob Flower 371,Flower,3.434189698,32.29240704
740,141207 Daniel Ob Flower 372,Flower,11.39396835,16.68739297
741,141207 Daniel Ob Flower 373,Flower,26.70829579,3.424108115
742,141207 Daniel Ob Flower 374,Flower,13.33096803,1.179001232
743,141207 Daniel Ob Flower 375,Flower,1.252089826,0.50373201
744,141207 Daniel Ob Flower 376,Flower,21.67323436,3.207843857
745,141207 Daniel Ob Flower 377,Flower,25.5084525,3.76406625
746,141207 Daniel Ob Flower 378,Flower,3.51493852,27.15345026
747,141207 Daniel Ob Flower 379,Flower,28.76631934,8.279192602
748,141207 Daniel Ob Flower 380,Flower,36.40129714,2.985364662
749,141207 Daniel Ob Flower 381,Flower,20.26024807,0.626044701
750,141207 Daniel Ob Flower 382,Flower,24.32535207,0.525185961
751,141207 Daniel Ob Flower 383,Flower,18.57022374,1.832491067
752,141207 Daniel Ob Flower 384,Flower,4.035681333,0.51154321
753,141207 Daniel Ob Flower 385,Flower,36.37663958,3.715593889
754,141207 Daniel Ob Flower 386,Flower,33.33424867,3.811607411
755,141207 Daniel Ob Flower 387,Flower,33.9580409,5.259803678
756,141207 Daniel Ob Flower 388,Flower,32.12609277,3.693164043
757,141207 Daniel Ob Flower 389,Flower,35.73731069,7.580086628
758,141207 Daniel Ob Flower 390,Flower,17.57610044,12.26707927
759,141207 Daniel Ob Flower 391,Flower,17.69110482,3.478186496
760,141207 Daniel Ob Flower 392,Flower,18.68364415,2.987388535
761,141207 Daniel Ob Flower 393,Flower,34.95587691,11.45757108
763,141207 Daniel Ob Flower 394,Flower,38.5101106,9.435263739
765,141207 Daniel Ob Flower 395,Flower,9.224839756,21.26511341
766,141207 Daniel Ob Flower 396,Flower,2.539756546,20.94402812
767,141207 Daniel Ob Flower 397,Flower,1.391047552,14.75817807
768,141207 Daniel Ob Flower 398,Flower,11.69531866,18.60370297
769,141207 Daniel Ob Flower 399,Flower,1.488597723,21.47199266
770,141207 Daniel Ob Flower 400,Flower,25.86493899,7.558848114
771,141207 Daniel Ob Flower 401,Flower,6.749275249,18.70858939
772,141207 Daniel Ob Flower 402,Flower,34.47089202,4.336073892
773,141207 Daniel Ob Flower 403,Flower,37.75168211,4.568334608
774,141207 Daniel Ob Flower 404,Flower,25.14233408,4.184676514
775,141209 Daniel Ob Flower 405,Flower,38.31615929,9.030030196
776,141209 Daniel Ob Flower 406,Flower,2.111496855,20.78211671
777,141209 Daniel Ob Flower 407,Flower,15.67512872,2.918094397
779,141209 Daniel Ob Flower 408,Flower,35.48637637,3.757409684
780,141209 Daniel Ob Flower 409,Flower,1.619907924,19.7704012
781,141209 Daniel Ob Flower 410,Flower,2.978185545,37.87647153
782,141209 Daniel Ob Flower 411,Flower,24.39156604,16.85994522
784,141209 Daniel Ob Flower 412,Flower,2.974769824,12.68231934
785,141209 Daniel Ob Flower 413,Flower,46.87010468,6.419653941
786,141209 Daniel Ob Flower 414,Flower,3.776440668,9.638570727
787,141209 Daniel Ob Flower 415,Flower,2.825663338,20.5253614
788,141209 Daniel Ob Flower 416,Flower,63.59296421,13.03352783
789,141209 Daniel Ob Flower 417,Flower,61.7772091,8.529983847
790,141209 Daniel Ob Flower 418,Flower,20.42512768,2.480250611
791,141209 Daniel Ob Flower 419,Flower,17.31891558,4.174239019
792,141209 Daniel Ob Flower 420,Flower,5.763953702,21.62650862
806,141209 Daniel Ob Flower 421,Flower,8.117913303,30.89528925
824,141209 Daniel Ob Flower 422,Flower,4.57996557,53.1842519
825,141209 Daniel Ob Flower 423,Flower,4.533653148,51.41509151
831,141209 Daniel Ob Flower 424,Flower,9.555882724,37.95707937
837,141209 Daniel Ob Flower 425,Flower,2.694850944,22.05797465
851,141209 Daniel Ob Flower 426,Flower,41.43872976,8.780943978
877,141209 Daniel Ob Flower 427,Flower,24.44771472,3.000453971
880,141209 Daniel Ob Flower 428,Flower,28.94137315,5.911278325
888,141209 Daniel Ob Flower 429,Flower,31.97673191,6.058497031
890,141209 Daniel Ob Flower 430,Flower,16.14297757,5.620346212
891,141209 Daniel Ob Flower 431,Flower,30.54636018,44.24695631
892,141209 Daniel Ob Flower 432,Flower,59.84244887,13.46159795
893,141209 Daniel Ob Flower 433,Flower,61.29135663,13.67291749
908,141209 Daniel Ob Flower 434,Flower,28.20594046,6.255330769
914,141209 Daniel Ob Flower 435,Flower,21.16243572,3.806441364
915,141209 Daniel Ob Flower 436,Flower,42.84652879,7.690478196
705,141205 Daniel Ob Fruit 182,Fruit,67.2643983,18.70780546
