Plant ID,Pop,Block,X,Flowering_Date,Flower_Number ,Leaf_Toughness,Water_Content,Growth_Rate,Bolt_Date,SLA,Above_mass,Below_mass,Num_Trichomes,Leaf_Herb_Sept,bug,Hight,Leaf_herb_July,S.florida,M.brevivatella ,Fruit,l1,l2,l3,l4,l5,d1,d2,d3,d4,d5
46,501,4,,248,0,150,73.96875,0.12187889,132,49.02610253,105.4,12.2,87,2.1,11,182,0.2,0,0,187,33.24,34.26,38.51,33.01,38.11,4.46,5.09,4.96,4.26,4.93
47,501,5,,249,0,180,72.68779852,0.115710298,132,44.173125,98,7.9,257,4.7,9,153,1.2,0,0,122,32.1,33.2,31,32.1,32.9,4.9,3.9,4.1,4.2,5.1
48,501,2,A,,,,,,155,,9.3,1.6,,,,105,,,,0,,,,,,,,,,
49,501,2,B,,,,,0.112886248,159,,38.4,4.6,,,0,125,,0,0,68,31.77,33.82,33,32.93,32.89,4.86,5.12,5.2,5.49,4.91
50,512,5,5n,,0,125,,0.028400544,210,,10.3,2.8,,1.6,,,0,,,0,,,,,,,,,,
51,514,1,5,257,0,150,83.3984375,,164,87.36353309,15.2,2.3,102,0.2,0,120,0.5,0,0,8,19.94,19.23,20.17,19.1,16.83,3.91,3.2,4.01,3.83,3.01
52,514,2,1,252,0,90,71.44846797,0.115710298,159,59.05249342,23.7,4.1,18,0.8,0,149,1.1,1,0,40,20.95,23.01,15.25,18.63,23.99,3.65,4.21,2.44,3.43,4.89
53,514,5,,255,0,160,77.35849057,,,60.74231729,0.1,,137,3.8,,127,0,,,0,,,,,,,,,,
54,514,5,4,,0,110,72.61829653,,,75.44650937,,,76,0.888888889,0,0,1.5,,,NA,,,,,,,,,,
55,515,1,,286,0,135,80.88658607,,184,54.8462404,3.5,0.6,160,0.1,0,79,0,,,0,,,,,,,,,,
56,515,2,,250,0,80,74.67532468,0.117855316,130,41.75428828,93.6,8.4,68,1.9,23,120,0.2,0,0,127,25.67,23.36,21.82,22.57,23.97,4.32,4.62,4.32,5.07,4.33
57,515,3,,248,0,60,71.83206107,0.117855316,130,42.54594596,121.4,11.2,76,2,17,180,0.2,0,0,231,19.9,28.86,20.95,20.93,18.78,3.65,5.27,3.82,3.64,3.53
58,515,4,,247,0,170,70.71202076,0.123771484,130,39.38807234,44,4.2,0,1.2,11,153,0.5,12,0,62,27.1,27.08,26.03,28.38,27.45,5.74,6.02,4.48,6.23,5.06
59,515,5,,257,0,150,65.11078287,0.133791109,130,32.76588079,89.4,,151,1,4,175,0,0,0,73,23.75,22.48,23.65,27.72,22.28,4.71,5.21,4.42,5.29,3.96
60,516,1,,227,9,120,77.72131586,0.095424251,134,53.42844643,90.2,9,112,4.3,13,160,0.4,5,0,143,26,35,32,35.5,39.5,4.5,4,4.5,4.5,4.5
61,516,2,,217,34,175,79.50499349,0.130676807,129,48.21351519,,,180,2.6,37,,0.9,,,NA,,,,,,,,,,
62,516,3,,336,0,110,80.28901734,0.113465478,131,49.27215574,42.7,4,4,38,17,100,0.9,,,NA,,,,,,,,,,
63,516,4,,235,0,150,76.04267701,0.111111111,131,45.76912369,40.1,,130,1.1,16,104,0.1,18,0,79,30.2,26.1,29.1,30,27,3.9,3,4.1,3.9,4.2
64,516,5,,,,75,,0.060205999,140,,,4.5,,,0,,1.3,,,0,,,,,,,,,,
65,518,1,,204,96,145,77.87448465,0.108635956,130,62.23440273,62,5.2,17,6.6,34,121,0.4,0,0,190,27.9,28.8,30.1,26.2,23.2,4.2,5,4.8,4.2,3.9
66,518,2,,198,170,135,77.80911385,0.117855316,131,47.42742527,62.6,6.1,144,0.4,2,142,0,,,NA,,,,,,,,,,
67,518,3,,200,68,90,71.23109025,0.111111111,130,49.58321733,46.6,4.7,110,0.2,6,127,0.4,0,2,90,36.21,41.2,36.45,33.34,32.98,5.38,5.72,5.46,5.34,5.35
68,518,4,,209,43,125,68.17204301,0.047712125,136,16.48956881,32.4,2.8,100,2.8,14,112,1,0,0,81,34.06,34.46,28.88,28.01,27.95,5.72,5.39,5.35,5.06,5.33
69,518,5,,203,37,120,66.27827279,0.039794001,133,54.96138296,,1.8,88,3.5,17,116,1.2,,,NA,,,,,,,,,,
70,570,1,,195,31,115,84.78873239,0.084509804,140,86.49759499,5,0.3,35,0.5,4,76,2.25,3,3,32,20.05,16.2,21.66,26.85,18.11,5.6,3.42,4.6,5.76,4.23
71,570,2,,191,81,50,77.21428571,0.097772361,135,50.47546031,32.1,3.3,3,0.7,12,106,1.3,6,16,167,24.46,25.7,21.69,22.11,23.02,5.07,5.15,5.33,5.1,4.43
72,570,3,,191,32,135,74.35897436,0.095424251,,49.99351766,6.5,1.4,96,0.3,5,79,,4,17,34,22.68,21.8,21.21,20.47,20.94,4.09,5.18,5.13,4.13,2.42
73,570,4,,191,20,120,73.08657465,0.074036269,136,25.61637842,3.2,0.1,148,1.3,6,65,0,0,11,19,19.68,22.19,22.41,19.05,23.15,5.13,5.09,4.95,4.3,4.11
74,571,2,,222,0,50,79.60831472,,,67.59020331,2.8,1.4,84,0.888888889,,,1.3,,,0,,,,,,,,,,
75,571,3,,193,21,95,77.62022195,0.060205999,134,68.71375,4.1,,265,1.9,7,59,0.4,10,7,32,19.57,23.87,19.38,19.68,19.47,2.8,4.78,4.1,5.08,4.13
76,571,4,,,0,150,,,,,1,0.5,,0.4,0,0,5.4,,,0,,,,,,,,,,
77,571,5,,191,18,50,71.59722222,,,52.42978388,,,138,1.3,12,64,1,,,NA,,,,,,,,,,
78,572,1,,195,106,160,76.76258993,0.10211893,134,53.10332404,25.6,2.2,67,6.9,5,113,2.9,0,8,117,26.3,29.51,26.2,22.3,18.72,5.38,5.17,5.21,5.88,5.21
79,572,2,,192,55,50,97.16675661,0.090308999,135,51.13269287,10.1,,112,0.9,7,86,,0,11,62,21.76,28.12,28.65,28.8,21.62,5.14,5.64,5.27,5.65,5.69
80,572,3,2,195,26,150,74.37132156,,,59.36494048,5.8,0.4,156,0.9,6,73,1.6,0,2,33,22.1,19.79,23.91,19.93,17.51,3.93,4.64,4.64,4.51,3.75
81,572,4,,191,182,100,73.54064375,0.133791109,134,,57.6,,116,1.3,8,152,5.8,1,11,292,28.84,23.58,22.69,25.77,21.59,5.08,4.35,4.24,5.36,4.72
82,572,5,,199,144,100,72.32851143,0.125592641,134,56.22034091,37.3,,175,4.4,15,127,0,0,12,196,20.07,26.43,22.84,33.83,25.33,4.47,5.79,4.47,5.33,4.88
83,573,1,,194,380,120,80.35820896,0.08646125,131,87.65604492,112.2,,104,0.8,6,105,4.9,6,23,417,32.8,29.5,29.2,27.7,27,4.4,5,5,4.8,4.9
84,573,2,,196,285,70,81.96004994,0.077663334,131,53.53770706,106.6,8.6,49,1.1,20,,1.1,9,8,377,24.5,29.5,24.5,32.5,26.5,5,5.5,5,5.5,5.5
85,573,3,,204,62,95,76.10729881,0.084509804,137,47.45608233,14.1,1.4,119,8,8,80,2.8,3,0,74,22.67,27.77,27.46,28.71,26.3,5.48,5.77,5.58,5.33,5.87
86,573,4,,205,240,95,72.65353418,0.093899782,132,51.84146287,13.2,1.2,140,0.9,3,81,0.1,,,0,,,,,,,,,,
